Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
Patty	Promo	1-016_pr.png	4	3	4		Hunter	Character/Newman	On Play: Choose 1 OFF character and deal 2 damage to it.	Red	/cr90
Lisa	Promo	1-025_pr.png	6	5	2		Ranger	Character/CAST	[Raid] (When this character is played, it will be played as ON).	Blue	
Afin	Promo	1-026_pr.png	2	3	2		Ranger	Character/Newman	On Play: All players draw 1 card.	Blue	/cr90
Tea	Vol1-1	1-036_pr.png	1	1	1		Force	Character/Newman	On Play: You may pay 2 PP, if you do, at the beginning of your next turn, choose 1 of your opponent’s characters and freeze it (Cannot attack).	Yellow	/cr90
Gene	Vol1-1	1-044_pr.png	4	5	3		Fighter	Character/Human	This card cannot be chosen by the effects of your opponent’s cards.	Red	/cr90
Melphonsina	Vol1-1	1-053_pr.png	3	3	2		Techer	Character/Newman	[Drop] (Activated when you place this card into Trash from deck during your opponent's turn): You may add this to your hand, if you do, discard a card.	Yellow	/cr90
Rappy (Halloween)	Vol1-2	2-020_pr.png	1	0	2			Character/Extraspecies Enemy	At the end of your turn: You may choose a card from your Trash and put it back under your deck. When this card is destroyed: You may draw a card.	White	/cr90
Rappy (Chrismast)	Vol1-2	2-020_pr2.png	1	0	2			Character/Extraspecies Enemy	At the end of your turn: You may choose a card from your Trash and put it back under your deck. When this card is destroyed: You may draw a card.	White	/cr90
Rappy (ARKS)	Vol1-2	2-020_pr3.png	1	0	2			Character/Extraspecies Enemy	At the end of your turn: You may choose a card from your Trash and put it back under your deck. When this card is destroyed: You may draw a card.	White	/cr90
Rappy (Easter Egg)	Vol1-2	2-020_pr4.png	1	0	2			Character/Extraspecies Enemy	At the end of your turn: You may choose a card from your Trash and put it back under your deck. When this card is destroyed: You may draw a card.	White	/cr90
Rappy (Summer)	Vol1-2	2-020_pr5.png	1	0	2			Character/Extraspecies Enemy	At the end of your turn: You may choose a card from your Trash and put it back under your deck. When this card is destroyed: You may draw a card.	White	/cr90
Fourier	Vol1-2	2-022_pr.png	3	4	2		Ranger	Character/CAST	On Play: Look at the top 2 cards of your deck, choose a <Ranger> from among them and add it to your hand and put the rest to the bottom of your deck in any order.	Blue	/cr90
Quna	Vol1-2	2-024_pr.png	2	0	2			Character/Human/Idol	Main - Discard a card from your hand -> Search your deck for an Active card with the same cost as the card that was discarded and add it to your hand, shuffle your deck. This can only be activated once per turn. This character cannot attack.	White	/cr90
Revelle	Vol1-2	2-027_pr.png	3	1	5		Fighter	Character/Newman	This character gets +5 ATK while in the back row.	Red	/cr90
Seraphy	Vol1-2	2-030_pr.png	2	0	2			Character/Human/Administrator/Staff	At the end of your turn: Choose up to 2 of your PP and turn them ON. This character cannot attack.	White	/cr90
Small Shadow Lilipa Tribe	Vol1-2	2-032_pr.png	1	0	3			Character/Lilipa Tribe	ON -> OFF - Choose one of your characters, and it gets +1/+1 during your turn.	White	/cr90
PP Conversion	Vol1-2	2-074_pr.png	2				Techer	Active/Skill	Main - Look at the top 2 cards of your deck, put 1 card into PP and the rest into Trash.	Yellow	
Dark Falz Elder	Vol1-3	3-008_pr.png	13	13	13			Character / Dark Falz	On Play: Put all [Falz Arm] from your Trash into the field. This character cannot be chosen by your opponent’s effect and cannot be destroyed by your opponent’s effect. While this character is in play, your Player cannot be damaged. At the end of your turn: Choose 1 <Darker> from Trash and put it on the bottom of your deck, if you do, choose one of your opponent’s character, active, or item and destroy it.	Black	/cr90
Dragon Follower Quna	Vol1-3	3-015_pr.png	6	3	2		Fighter	Character / Human / Council of Six	On Play: Choose 1 of your opponent’s character with cost 6 or more and destroy it.	Red	/cr90
Claris Claes	Vol1-3	3-018_pr.png	3	4	2		Force	Character / Human / Council of Six	The opponent’s Player other than <Boss> loses their ability while this character is in play.	Yellow	/cr90
