Name	Set	ImageFile	Cost	ATK	HP	DEF	Class	Type	Text	Color	Script
Dark Falz [Elder]	Vol1-3	3-001.png			56			Player / Dark Falz	Going First / Second. Main - Pay 4 / 3 PP, return 1 card from your hand to the bottom of your deck, and this player gains +3 ATK and [Penetration 3] during this turn. This ability can only be activated once per turn. Rule: When using this card as a player, only cards in black and [Erosion] cards can be placed in the deck. Mags cannot be used.	Black	
Assassin Quna	Vol1-3	3-002.png	6	5	5		Fighter	Character / Human / Council of Six	On Play: You may discard 2 cards from your hand, if you do, choose one of your opponent’s characters and return it to the bottom of their deck. When you play an active <Song> (Before the action happens): You may discard a card from your hand, if you do, Choose 1 [Hadred] from your Trash and put it into your field.	Red	/cr90
Guardian of ARKS Regius	Vol1-3	3-003.png	7	6	7		Hunter	Character / CAST / Council or Six	[Warcry] (ON -> OFF - Redirect the attack target to this card. This ability can only be activated when one of your characters is attacked). At the end of your turn: Set this character to ON. When this character is destroyed: You may pay 2 PP to return this card to your hand.	Red	/cr90
Innocent Tech	Vol1-3	3-004.png	6	6	4		Force	Character / Human / Council of Six	On Play: Choose 1 <Technique> of cost 4 or less from your Trash, and you may play it without paying its cost. All of your <Technique> deals 1 more damage to your opponent’s characters.	Yellow	/cr90
History Keeper Maria	Vol1-3	3-005.png	7	6	6		Hunter	Character / CAST / Council of Six	On Play: Choose one of your other characters, it gets “When this card is destroyed: You may return this card to your hand.” In addition, the character gets +3/+3 while this card is in play.	Red	/cr90
Thoughtful Researcher Annette	Vol1-3	3-006.png	5	3	6		Techer	Character / Newman	On Play: [Recovery 3]. When you play a <Technique>: All of your characters gain +1 ATK during this turn.	Yellow	/cr90
Runaway Dragon Hadred	Vol1-3	3-007.png	8	7	7			Character / Dragon / Dragon Tribe	On Play: Choose one of the following and activate them. (1)“Choose one of your opponent’s character and deal 3 damage to it”. (2)“Destroy all <Darker> with cost 3 or less”. This character may take the damage instead if your [Quna] is damaged. You can only play 1 <Hadred> on the field.	White	/cr90
Dark Falz Elder	Vol1-3	3-008.png	13	13	13			Character / Dark Falz	On Play: Put all [Falz Arm] from your Trash into the field. This character cannot be chosen by your opponent’s effect and cannot be destroyed by your opponent’s effect. While this character is in play, your Player cannot be damaged. At the end of your turn: Choose 1 <Darker> from Trash and put it on the bottom of your deck, if you do, choose one of your opponent’s character, active, or item and destroy it.	Black	/cr90
Liberating Rite Melphonsina	Vol1-3	3-009.png	3	3	3		Techer	Character / Newman	On Play: Choose 1 [Stolen Clarissa] from your Trash and add it to your hand. Main - Put 1 card from your hand to the bottom of your deck -> During this turn, your Player gains +2 ATK. This ability can be activated twice per turn.	Black	/cr90
Abandoned Echo	Vol1-3	3-010.png	3	2	4		Force	Character / Newman	On Play: If you have [Zeno] in your Trash, choose 1 <Gunslash> from your Trash and add it to your hand. While you have [Zeno] in your Trash, this character gets +1/-1.	Yellow	/cr90
Confronted with Despair Zeno	Vol1-3	3-011.png	3	4	2		Hunter	Character / Human	This character gets +1/+1 while your opponent has a Black Character on their field. When this character is destroyed: Search for 1 [Echo] from your deck.	Red	/cr90
Bea	Vol1-3	3-012.png	1	0	1			Character / Human / Staff	On Play / ON -> OFF - Choose a character with <Class>, and during this turn, your Player gets that <Class> and colour. This character cannot attack.	White	/cr90
Dudu	Vol1-3	3-013.png	3	0	2			Character / Human / Staff	On Play / ON -> OFF - Choose one of your <Class> characters, reveal the top card of your deck, if the cost of the card is an odd number, the chosen character gets +3 ATK during this turn. This character cannot attack.	White	/cr90
Absentminded Melphonsina	Vol1-3	3-014.png	4	3	4		Techer	Character / Newman	This character gets +2/+2 while you have no other characters in play.	Yellow	/cr90
Dragon Follower Quna	Vol1-3	3-015.png	6	3	2		Fighter	Character / Human / Council of Six	On Play: Choose 1 of your opponent’s character with cost 6 or more and destroy it.	Red	/cr90
Annette	Vol1-3	3-016.png	4	1	4		Techer	Character / Newman	When this card is destroyed: You may discard 1 card from your hand, if you do, choose up to 1 Active card from your Trash and add it to your hand.	Yellow	/cr90
Regius	Vol1-3	3-017.png	4	3	5		Hunter	Character / CAST / Council of Six	During your turn, this character gains +2 ATK.	Red	/cr90
